Change component parameters: Designator = "J1" ("J1"); Footprint = "HDR_F_1X8"; UniqueID = "\BMGOUOEB" ("\BMGOUOEB")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF8"; VariantName = "[No Variations]"
Change component parameters: Designator = "J2" ("J2"); Footprint = "HDR_F_1X6"; UniqueID = "\IXLPBUTN" ("\IXLPBUTN")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF6"; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "HDR_F_1X6"; UniqueID = "\YCGFOQXH" ("\YCGFOQXH")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF6"; VariantName = "[No Variations]"
Change component parameters: Designator = "J4" ("J4"); Footprint = "HDR_F_1X3"; UniqueID = "\GBBSGPOI" ("\GBBSGPOI")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF3"; VariantName = "[No Variations]"
Change component parameters: Designator = "J5" ("J5"); Footprint = "HDR_F_1X3"; UniqueID = "\BULUPKXC" ("\BULUPKXC")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF3"; VariantName = "[No Variations]"
Change component parameters: Designator = "J6" ("J6"); Footprint = "HDR_F_1X6"; UniqueID = "\BZWVAEZE" ("\BZWVAEZE")
Change component parameters (AddParameter): Name = ""; Value = "http://www.chila.ir"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "HDRF6"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=RS485-A New Net Name=RS485-B
Change Net Name : Old Net Name=RS485-B New Net Name=RS485-A
